Year, Price, Miles
2009, 12900, 218000
2009, 15990, 104000
2009, 15990, 106000
2009, 15400, 132370
2009, 12490, 217588
2009, 16900, 143900
2009, 16490, 159432
2009, 18900, 94255
2009, 13990, 225000
2009, 14990, 150000
2009, 13490, 214250
2009, 17800, 168000
2009, 24990, 86000
2009, 15900, 172200
2009, 15099, 181799
2009, 18490, 124600
2009, 10490, 226000
2009, 17500, 143000
2009, 15990, 174818
2009, 9900, 212000
2009, 19900, 156000
2009, 12700, 155000
2009, 22000, 95000
2009, 8500, 250250
2009, 14900, 202767
2009, 23900, 157830
2009, 13980, 163956
2009, 16990, 154954
2009, 18900, 138000
2009, 13990, 197000
2009, 13990, 186000
2009, 17400, 106000
2009, 16990, 161000
2009, 16990, 142000
2009, 18990, 154897
2009, 14990, 150000
2009, 17900, 116000
2009, 16490, 73600
2009, 15500, 202000
2009, 14000, 154000
2009, 8700, 238800
2009, 16900, 131600
2009, 14000, 186000
2009, 16900, 143000
2009, 16400, 173000
2009, 17000, 105000
2009, 9400, 213000
2009, 14800, 166000
2009, 11900, 205041
2009, 17540, 134000
2009, 14500, 247000
2009, 14900, 145000
2009, 15500, 136800
2009, 15000, 182000
2009, 15300, 159000
2009, 17650, 134000
2009, 18900, 151000
2009, 18990, 115000
2009, 12990, 205000
2009, 12990, 211000
2009, 15990, 118000
2009, 15900, 156000
2009, 17990, 121122
2009, 17490, 219000
2009, 14990, 164100
2009, 14490, 150000
2009, 12490, 189138
2009, 15500, 181000
2010, 13990, 181800
2010, 14900, 180592
2010, 15490, 196865
2010, 18990, 99325
2010, 16090, 111430
2010, 19990, 148000
2010, 12990, 169000
2010, 20900, 126800
2010, 16500, 168000
2010, 14500, 179500
2010, 23500, 115000
2010, 20450, 117273
2010, 18990, 143917
2010, 18600, 121000
2010, 15000, 124261
2010, 15200, 188000
2010, 21500, 155000
2010, 19900, 82000
2010, 15900, 138696
2010, 15500, 224000
2010, 18990, 98050
2010, 20689, 116764
2010, 16990, 148500
2010, 17990, 111000
2010, 14999, 139192
2010, 19990, 114000
2010, 14900, 170628
2010, 18990, 109000
2010, 13390, 142893
2010, 19390, 143000
2010, 19990, 105783
2010, 17990, 114000
2010, 18990, 143200
2010, 18490, 138700
2010, 17990, 137517
2010, 15990, 172000
2010, 18990, 156500
2010, 16900, 140600
2010, 16990, 168874
2010, 16500, 146500
2010, 15900, 205000
2010, 14580, 134000
2010, 13500, 247569
2010, 19900, 135000
2010, 15950, 121000
2010, 19000, 92000
2010, 13500, 185000
2010, 12000, 204425
2010, 11000, 292500
2010, 15400, 187195
2010, 15900, 157000
2010, 17500, 75000
2010, 15500, 106000
2010, 12900, 186000
2010, 15500, 153000
2010, 16900, 174000
2010, 16500, 177000
2010, 15500, 167000
2010, 14990, 169900
2010, 13480, 197000
2010, 17900, 136000
2010, 13900, 141300
2010, 17490, 135218
2010, 12490, 277000
2010, 13490, 195000
2010, 13990, 148218
2010, 16990, 130000
2010, 10500, 232000
2010, 16000, 151000
2010, 15990, 205203
2010, 14990, 146000
2011, 17980, 118620
2011, 21900, 129000
2011, 17990, 146300
2011, 19990, 134000
2011, 19900, 118097
2011, 17490, 154749
2011, 22890, 103534
2011, 15400, 141074
2011, 17780, 129893
2011, 18990, 146300
2011, 17990, 183147
2011, 14990, 179600
2011, 18990, 106000
2011, 20900, 150900
2011, 21600, 63000
2011, 21990, 92799
2011, 23900, 79550
2011, 22990, 119000
2011, 14990, 160518
2011, 17900, 96726
2011, 16900, 158460
2011, 23990, 88300
2011, 15000, 174000
2011, 17000, 183590
2011, 8800, 186000
2011, 18700, 136350
2011, 13500, 160000
2011, 18700, 129000
2011, 14490, 142672
2011, 19900, 160000
2011, 19990, 85980
2011, 17490, 137600
2011, 18990, 142386
2011, 16990, 177829
2011, 19450, 143590
2011, 15980, 178522
2011, 17790, 175600
2011, 19500, 150760
2011, 19990, 104900
2011, 19990, 149700
2011, 13980, 184320
2011, 15990, 168000
2011, 19990, 103458
2011, 20490, 96827
2011, 13999, 180200
2011, 17500, 130000
2011, 18990, 117536
2011, 19990, 79976
2011, 16500, 166747
2011, 16990, 125730
2011, 18990, 137699
2011, 18800, 125000
2011, 16990, 146000
2011, 12000, 215000
2011, 17800, 159450
2011, 16400, 115000
2011, 16500, 134000
2011, 11500, 172000
2011, 15900, 174000
2011, 14500, 167000
2011, 16000, 170000
2011, 18500, 144000
2011, 20000, 155600
2011, 20000, 131000
2011, 14990, 153000
2011, 12700, 199600
2011, 22000, 103000
2011, 19900, 108500
2011, 21000, 97000
2011, 15999, 154651
2011, 17900, 178664
2011, 15990, 138300
2011, 13990, 158600
2011, 17500, 155000
2011, 15680, 116243
2012, 19980, 105984
2012, 24998, 68500
2012, 20590, 124465
2012, 25900, 75000
2012, 15890, 137385
2012, 22990, 109553
2012, 24900, 155000
2012, 22990, 133000
2012, 24900, 90900
2012, 24990, 59900
2012, 17990, 135000
2012, 19990, 113210
2012, 19980, 140302
2012, 16000, 199100
2012, 18490, 112035
2012, 19900, 139038
2012, 23490, 85000
2012, 14500, 162270
2012, 14590, 187240
2012, 25000, 122500
2012, 23900, 106500
2012, 21900, 168000
2012, 19990, 103485
2012, 20900, 147000
2012, 18990, 191487
2012, 23950, 123042
2012, 19990, 194895
2012, 29990, 81071
2012, 21490, 159000
2012, 17990, 156067
2012, 23990, 74099
2012, 15900, 184398
2012, 19990, 174000
2012, 19900, 170000
2012, 25900, 87331
2012, 26990, 84725
2012, 27900, 104500
2012, 18990, 107300
2012, 19900, 93380
2012, 18990, 99700
2012, 26990, 71724
2012, 25900, 126500
2012, 19990, 149500
2012, 25489, 49800
2012, 24900, 137080
2012, 14990, 158380
2012, 20490, 140100
2012, 14000, 204000
2012, 12800, 195000
2012, 20000, 110000
2012, 28500, 57000
2012, 18500, 135000
2012, 16600, 155000
2012, 18900, 145000
2012, 14000, 185000
2012, 21000, 85900
2012, 20900, 124000
2012, 16700, 145000
2012, 18500, 76000
2012, 21490, 139500
2012, 25800, 94000
2012, 24990, 96000
2012, 18990, 138132
2012, 26990, 66589
2012, 15990, 191890
2012, 26900, 88500
2012, 21990, 107000
2012, 18800, 112000
2012, 16990, 99500
2012, 13990, 202500
2012, 20990, 90000
2012, 19490, 165000
2012, 24990, 101900
2012, 28700, 49300
2012, 13990, 195463
2012, 23900, 85700
2012, 16900, 147000
2012, 18900, 146800
2013, 34500, 59500
2013, 22990, 99711
2013, 16900, 171600
2013, 22590, 100551
2013, 31500, 62900
2013, 21900, 115659
2013, 17690, 91221
2013, 25990, 108440
2013, 25950, 122178
2013, 24390, 95432
2013, 22000, 130000
2013, 17500, 180000
2013, 21900, 115400
2013, 27490, 52140
2013, 17500, 200000
2013, 22990, 85043
2013, 25495, 97240
2013, 15970, 141360
2013, 29990, 63514
2013, 21990, 122094
2013, 34990, 46800
2013, 20990, 69375
2013, 25690, 81100
2013, 28990, 52900
2013, 24990, 64449
2013, 22990, 159980
2013, 20900, 99700
2013, 20200, 107000
2013, 24500, 48000
2013, 27000, 114500
2013, 17200, 140530
2013, 17900, 194000
2013, 22900, 109500
2013, 20940, 74326
2013, 28990, 101120
2013, 24900, 47900
2013, 26490, 76810
